TransactionID,CustomerID,CustomerName,ProductID,ProductName,ProductCategory,PurchaseQuantity,PurchasePrice,PurchaseDate,Country
1,887,Kenneth Martinez,240,Router,Electronics,5,689.99,2024-03-01,Barbados
2,560,Joseph Anderson,299,Camera,Electronics,4,79.27,2024-01-26,Northern Mariana Islands
3,701,Vincent Reynolds,207,Electric Kettle,Home Appliances,3,666.75,2024-05-13,British Virgin Islands
4,630,Christopher Morris,290,Smartwatch,Electronics,5,316.19,2023-09-21,Guatemala
5,631,Sarah King,281,Toaster,Home Appliances,4,700.24,2024-01-25,Falkland Islands (Malvinas)
6,228,Lisa Davis,282,Television,Electronics,4,668.28,2023-08-30,Namibia
7,694,Matthew Le,277,Microwave,Home Appliances,5,573.41,2023-11-04,Tajikistan
8,677,Scott Miller,282,Heater,Home Appliances,1,310.84,2024-04-20,Montserrat
9,371,Pamela Butler,281,Printer,Electronics,5,610.59,2023-07-07,Luxembourg
10,742,Maria Turner,231,Air Conditioner,Home Appliances,4,447.74,2024-05-03,Sri Lanka
11,801,Jesse Barker,220,Router,Electronics,4,795.8,2023-12-13,Israel
12,595,Gerald Thomas,291,Laptop,Electronics,3,520.3,2023-10-28,Saint Martin
13,981,James Hodges,265,Refrigerator,Home Appliances,2,676.07,2024-01-30,Botswana
14,426,Bryan Cole,218,Television,Electronics,2,34.18,2023-08-02,Australia
15,397,Sharon Barnes,220,Tablet,Electronics,5,851.24,2024-05-06,Greece
16,691,Cheryl Moore,265,Tablet,Electronics,4,887.28,2023-12-24,Luxembourg
17,415,Brandon Long MD,230,Printer,Electronics,4,405.66,2023-09-17,Mozambique
18,461,Douglas Harper,283,Smartphone,Electronics,1,780.64,2024-03-13,Latvia
19,392,Sarah Jordan,233,Headphones,Electronics,5,469.9,2024-04-03,Haiti
20,882,Andrew Williams,271,Laptop,Electronics,4,142.01,2023-09-09,Guyana
21,666,James Cole,270,Heater,Home Appliances,5,599.5,2023-10-12,Sweden
22,738,Barbara Hester,250,Electric Kettle,Home Appliances,5,432.47,2023-11-17,South Africa
23,447,Holly Thomas,277,Microwave,Home Appliances,4,455.57,2024-01-09,Iran
24,612,Andrew Reeves,260,Smartwatch,Electronics,5,489.75,2024-01-13,Korea
25,252,Kaylee Murphy,278,Smartwatch,Electronics,4,86.71,2023-10-27,Central African Republic
26,502,Nancy Evans MD,265,Vacuum Cleaner,Home Appliances,3,342.49,2024-01-18,Liechtenstein
27,825,Karen Smith,242,Headphones,Electronics,2,238.95,2024-03-13,Bouvet Island (Bouvetoya)
28,526,Rebecca Swanson,288,Television,Electronics,1,420.72,2024-02-25,Anguilla
29,711,Walter Patton,299,Heater,Home Appliances,4,421.62,2024-02-05,Montserrat
30,333,Lauren Jackson,280,Printer,Electronics,4,905.79,2024-04-01,Nicaragua
31,893,Brittany Becker,204,Smart Bulb,Electronics,4,482.21,2024-02-03,Yemen
32,817,Albert Edwards,219,Washing Machine,Home Appliances,4,854.91,2023-12-03,Portugal
33,308,Reginald Knapp,294,Heater,Home Appliances,5,801.87,2024-04-03,Bahamas
34,822,Daniel Nguyen,284,Tablet,Electronics,2,280.21,2023-12-28,Mali
35,485,Christopher Barr,243,Blender,Home Appliances,4,342.77,2024-01-24,Guinea
36,792,Michelle Schneider,288,Microwave,Home Appliances,4,920.35,2023-10-06,New Caledonia
37,595,David Grant,228,Printer,Electronics,5,568.75,2024-06-25,French Southern Territories
38,889,Daniel Bush,240,Laptop,Electronics,4,144.34,2023-12-29,Guernsey
39,673,Rebecca Hill,215,Microwave,Home Appliances,1,267.55,2024-02-03,Philippines
40,656,William Cardenas,298,Vacuum Cleaner,Home Appliances,4,333.58,2024-05-03,Cameroon
41,397,Tyler Miller,256,Washing Machine,Home Appliances,4,259.75,2024-03-06,Equatorial Guinea
42,865,Dale Ryan,271,Tablet,Electronics,1,751.53,2024-03-22,Faroe Islands
43,240,Patrick Allen,206,Camera,Electronics,2,653.64,2024-03-12,United Kingdom
44,643,David Garcia,242,Smartphone,Electronics,2,207.37,2024-03-30,Latvia
45,202,Brenda Oconnell,220,Smart Bulb,Electronics,2,246.16,2023-12-01,Palau
46,999,Matthew Avila,236,Refrigerator,Home Appliances,5,948.28,2023-10-28,France
47,761,Randy Pearson,229,Washing Machine,Home Appliances,3,176.11,2024-01-19,Saint Vincent and the Grenadines
48,840,Amanda Dorsey,253,Headphones,Electronics,3,117.02,2024-06-02,Taiwan
49,280,Amanda Huff,263,Smartwatch,Electronics,5,680.57,2023-09-06,Vietnam
50,866,Tammy Mcdowell,201,Coffee Maker,Home Appliances,2,85.24,2023-10-19,Mongolia
51,717,William Mitchell,282,Laptop,Electronics,3,851.79,2024-01-22,Mali
52,605,Brandi Gordon,234,Smart Bulb,Electronics,1,353.73,2023-09-08,Sudan
53,215,Nicholas Wong,291,Toaster,Home Appliances,1,510.9,2023-09-06,American Samoa
54,854,Edward Craig,224,Blender,Home Appliances,4,824.11,2023-09-02,New Caledonia
55,976,Jennifer Patterson,241,Printer,Electronics,3,639.23,2023-07-29,Iran
56,785,William Woods,231,Microwave,Home Appliances,4,184.38,2023-06-28,Eritrea
57,492,Paul Finley,238,Electric Kettle,Home Appliances,5,776.9,2024-02-07,Saint Kitts and Nevis
58,686,Matthew Schwartz,207,Coffee Maker,Home Appliances,5,275.71,2024-03-11,British Indian Ocean Territory (Chagos Archipelago)
59,576,Jared Shaw,290,Laptop,Electronics,3,882.81,2024-04-19,Georgia
60,806,Thomas Phillips,278,Tablet,Electronics,5,614.23,2023-09-19,Cyprus
61,236,Jesse Zhang,247,Toaster,Home Appliances,1,499.36,2023-12-04,Reunion
62,662,Nicole Pham,227,Microwave,Home Appliances,4,220.0,2024-04-16,Egypt
63,796,Shelley Miller,257,Toaster,Home Appliances,3,881.52,2024-01-17,Romania
64,470,Justin Brown,270,Heater,Home Appliances,1,521.46,2024-06-10,Macedonia
65,307,Brittany Murphy,266,Laptop,Electronics,2,722.87,2023-12-14,Brazil
66,796,Kevin Davis,265,Heater,Home Appliances,2,693.7,2023-12-16,Sudan
67,156,Jose Bryant,207,Air Conditioner,Home Appliances,1,102.12,2024-01-29,Kyrgyz Republic
68,788,Miranda Foster,200,Printer,Electronics,2,313.14,2024-04-10,Cuba
69,692,Jeff Graves,269,Air Conditioner,Home Appliances,5,535.61,2023-07-19,Vietnam
70,170,Mrs. Donna White,217,Heater,Home Appliances,3,358.29,2024-04-18,Norway
71,846,Jennifer Haney,248,Washing Machine,Home Appliances,3,258.89,2023-12-17,Trinidad and Tobago
72,486,Michael Stanley,269,Television,Electronics,3,128.36,2023-08-16,Palau
73,980,Christopher Medina,267,Television,Electronics,2,741.22,2023-08-14,Saint Lucia
74,328,Nicole Good,259,Electric Kettle,Home Appliances,5,600.82,2024-03-13,Saint Helena
75,657,James Hall,258,Television,Electronics,3,235.21,2023-11-07,Cape Verde
76,382,Shaun Cannon,204,Smartwatch,Electronics,1,710.94,2024-05-05,Panama
77,529,Taylor Small,230,Smartwatch,Electronics,1,974.55,2023-09-14,Bangladesh
78,203,Jill Powers,206,Microwave,Home Appliances,4,111.56,2023-09-29,Saint Vincent and the Grenadines
79,145,David Robinson,299,Smart Bulb,Electronics,3,474.7,2023-07-17,Burundi
80,615,Cynthia Hendricks DDS,273,Toaster,Home Appliances,2,965.84,2024-02-13,Sierra Leone
81,788,Cynthia Walter,284,Air Conditioner,Home Appliances,1,823.89,2024-01-14,Cyprus
82,523,Antonio Fry,294,Air Conditioner,Home Appliances,1,581.25,2024-06-14,China
83,741,Kristi Williams,244,Headphones,Electronics,2,813.03,2024-06-25,Norway
84,787,Joseph Horton,252,Refrigerator,Home Appliances,2,127.27,2023-08-22,French Southern Territories
85,485,Joshua Allen,228,Electric Kettle,Home Appliances,5,792.83,2023-10-20,Togo
86,824,Joel Brown,252,Router,Electronics,4,456.01,2023-12-04,Micronesia
87,642,David Harris,282,Washing Machine,Home Appliances,5,990.13,2023-07-26,Uzbekistan
88,560,Anna Hardy,224,Electric Kettle,Home Appliances,5,69.63,2023-07-16,Ethiopia
89,486,Lindsey Russo,224,Television,Electronics,2,272.0,2024-05-03,Senegal
90,701,Kristin Mendoza,242,Headphones,Electronics,2,182.08,2023-10-21,Zimbabwe
91,115,Colton Figueroa,295,Headphones,Electronics,1,414.43,2024-04-13,Lesotho
92,348,Michele Sanders,230,Washing Machine,Home Appliances,1,239.16,2024-01-26,Gibraltar
93,894,John Wong,239,Air Conditioner,Home Appliances,1,690.51,2023-10-05,Guyana
94,625,Julie Lang,292,Electric Kettle,Home Appliances,2,430.89,2023-12-25,Senegal
95,959,Dale Edwards,205,Headphones,Electronics,3,828.36,2024-01-30,Tonga
96,326,Alexis Tran,274,Smartphone,Electronics,2,794.7,2024-02-05,Saint Helena
97,527,Craig Hall,272,Air Conditioner,Home Appliances,1,474.01,2024-05-14,Ecuador
98,611,Terri Morgan,297,Coffee Maker,Home Appliances,3,505.47,2024-05-10,Liechtenstein
99,840,Katherine Jackson,245,Air Conditioner,Home Appliances,1,602.06,2023-08-30,Burundi
100,837,Catherine Preston,282,Toaster,Home Appliances,5,257.86,2023-07-18,Mali
101,134,Angela Meyers,206,Television,Electronics,5,591.25,2024-04-17,Albania
102,522,Mark Jones,219,Smartwatch,Electronics,5,49.83,2023-06-29,Cuba
103,617,Antonio Little,278,Tablet,Electronics,5,654.99,2024-06-14,Liberia
104,775,Aaron Arnold Jr.,267,Microwave,Home Appliances,5,441.53,2024-04-01,Falkland Islands (Malvinas)
105,648,Alicia Li,286,Refrigerator,Home Appliances,4,354.48,2023-12-10,Sri Lanka
106,283,Brent Hernandez,224,Toaster,Home Appliances,1,859.16,2024-02-21,Mali
107,358,Debra Sanders,247,Coffee Maker,Home Appliances,4,295.34,2023-11-30,Kuwait
108,678,Michael Evans,210,Heater,Home Appliances,1,460.28,2024-03-05,Togo
109,765,Anna Gray,270,Washing Machine,Home Appliances,3,124.76,2023-12-27,Azerbaijan
110,752,Christopher Porter,255,Heater,Home Appliances,1,661.08,2024-03-02,Slovenia
111,439,Shannon Davis,267,Coffee Maker,Home Appliances,1,195.71,2024-06-16,Armenia
112,335,Sean Clay,260,Electric Kettle,Home Appliances,4,629.15,2023-10-09,Aruba
113,176,Diana Daniels,284,Television,Electronics,3,553.73,2023-07-08,Christmas Island
114,970,Tyrone Matthews,296,Air Conditioner,Home Appliances,4,130.21,2024-05-09,Rwanda
115,940,Billy Martin,230,Headphones,Electronics,3,555.33,2024-02-01,Syrian Arab Republic
116,969,Steven Rivera,296,Refrigerator,Home Appliances,2,992.33,2024-04-08,Burundi
117,909,Misty Mason DVM,206,Tablet,Electronics,1,651.23,2023-08-02,Jordan
118,337,Gina Mack,276,Tablet,Electronics,3,513.78,2023-11-27,Singapore
119,434,Donald Riddle,262,Coffee Maker,Home Appliances,4,980.44,2023-09-22,Guinea-Bissau
120,666,Jessica Frazier,284,Tablet,Electronics,5,153.2,2023-11-20,Belize
121,890,Rebecca Marquez,210,Smart Bulb,Electronics,5,748.83,2023-10-08,Cape Verde
122,489,Madison Singh,240,Laptop,Electronics,3,774.95,2023-11-13,Botswana
123,193,Eric Ward,234,Toaster,Home Appliances,5,274.5,2023-08-04,Bulgaria
124,189,Jerry Peters,252,Smartwatch,Electronics,3,839.1,2023-08-05,Anguilla
125,191,Brandon George,241,Microwave,Home Appliances,4,543.19,2024-05-26,Hungary
126,112,James Miller,271,Toaster,Home Appliances,5,765.24,2024-06-11,Ecuador
127,685,Melissa Jackson,234,Air Conditioner,Home Appliances,3,870.91,2023-10-20,Ethiopia
128,604,Christopher Hill,238,Smart Bulb,Electronics,4,241.23,2023-12-31,Slovenia
129,178,Tony Le,263,Blender,Home Appliances,3,747.26,2024-02-11,New Zealand
130,300,Chad Smith,250,Coffee Maker,Home Appliances,2,500.38,2023-11-02,Tajikistan
131,735,Scott Alexander,255,Headphones,Electronics,5,965.7,2024-05-07,Swaziland
132,980,Linda Evans,277,Refrigerator,Home Appliances,4,108.71,2024-03-22,Cook Islands
133,590,Vincent Novak,237,Blender,Home Appliances,2,415.88,2024-04-06,Puerto Rico
134,748,Kenneth Sanchez MD,250,Laptop,Electronics,4,783.71,2023-11-14,Brazil
135,677,Zachary White,298,Toaster,Home Appliances,5,695.78,2024-01-25,Anguilla
136,844,Michael Gonzales,237,Camera,Electronics,5,386.21,2024-05-13,Puerto Rico
137,170,Rebecca Ortiz,263,Air Conditioner,Home Appliances,5,45.54,2023-08-19,Norfolk Island
138,410,Matthew Espinoza,248,Television,Electronics,3,997.45,2023-07-24,Kiribati
139,712,James Hunter,288,Printer,Electronics,1,762.77,2023-12-05,Mauritius
140,137,Heather Woodard,268,Tablet,Electronics,2,697.06,2024-02-11,Northern Mariana Islands
141,187,David Ortega,221,Smartphone,Electronics,3,798.18,2024-03-03,New Caledonia
142,145,Maria Lucas,296,Toaster,Home Appliances,3,436.38,2023-11-01,South Africa
143,540,Brett Walker,295,Router,Electronics,4,570.27,2024-01-13,Micronesia
